"year","theme","word","keyword_count","tfidf"
2015,"Impacts","dependency_ratio",302,0.00367986356823156
2015,"Impacts","economic_growth",126,0.00367986356823156
2015,"Impacts","healthcare_cost",12,0.00308890048706285
2015,"Impacts","retirement_age",203,0.00385911650006574
2015,"Impacts","social_security",318,0.00385911650006574
2015,"Reasons","birth_rate",6,0.00308890048706285
2015,"Reasons","family_planning",29,0.00327620743751128
2015,"Reasons","fertility",1717,0.00367986356823156
2015,"Reasons","life_expectancy",1187,0.00367986356823156
2015,"Reasons","longevity",304,0.00367986356823156
2015,"Reasons","migration",356,0.00367986356823156
2015,"Reasons","urbanization",94,0.00385911650006574
2015,"Solutions","pension_reform",33,0.00330465244110335
2015,"Solutions","silver_economy",4,0.00546211642209053
2016,"Impacts","elderly_care",4,0.00608538896042629
2016,"Impacts","retirement_age",6,0.00899807324547872
2016,"Impacts","social_security",18,0.00899807324547872
2016,"Reasons","life_expectancy",16,0.00608538896042629
2016,"Reasons","longevity",12,0.00608538896042629
2017,"Impacts","economic_growth",4,0.0013669829178656
2017,"Reasons","demographic_shift",4,0.0013669829178656
2017,"Reasons","fertility",6,0.00259694173919436
2017,"Reasons","life_expectancy",17,0.0018941081270065
2017,"Reasons","longevity",24,0.00259694173919436
2017,"Reasons","migration",8,0.0013669829178656
2018,"Impacts","social_security",12,0.00538482283389968
2018,"Reasons","life_expectancy",16,0.00538482283389968
2018,"Reasons","longevity",2,0.00538482283389968
2019,"Impacts","economic_growth",12,0.00744636663532056
2019,"Impacts","social_security",4,0.00744636663532056
2019,"Reasons","birth_rate",112,0.00744636663532056
2019,"Reasons","family_planning",48,0.00744636663532056
2019,"Reasons","fertility",62,0.00536804167983791
2019,"Reasons","life_expectancy",49,0.00536804167983791
2019,"Reasons","longevity",28,0.00536804167983791
2019,"Reasons","migration",136,0.00744636663532056
2019,"Reasons","urbanization",88,0.00744636663532056
2020,"Impacts","retirement_age",4,0.00243261393852288
2020,"Reasons","fertility",6,0.0060016661055658
2020,"Reasons","life_expectancy",7,0.00418506914089892
2020,"Reasons","migration",2,0.0060016661055658
2020,"Solutions","automation",4,0.00243261393852288
2021,"Impacts","dependency_ratio",21,0.00477043833799978
2021,"Impacts","economic_growth",101,0.00403150124965202
2021,"Impacts","retirement_age",4,0.00602712816135167
2021,"Reasons","demographic_shift",21,0.00477043833799978
2021,"Reasons","family_planning",2,0.00257988187417002
2021,"Reasons","fertility",235,0.00434895555564169
2021,"Reasons","life_expectancy",140,0.00434895555564169
2021,"Reasons","longevity",17,0.00378956468707169
2021,"Reasons","migration",45,0.00402113561380761
2022,"Impacts","dependency_ratio",52,0.00590644453858721
2022,"Impacts","economic_growth",358,0.0054553230250619
2022,"Impacts","elderly_care",32,0.00671079569003251
2022,"Impacts","labor_shortage",4,0.00473795849505985
2022,"Impacts","retirement_age",28,0.00473795849505985
2022,"Impacts","social_security",80,0.00696165002725359
2022,"Reasons","birth_rate",6,0.00769801755391741
2022,"Reasons","family_planning",8,0.00807349579335046
2022,"Reasons","fertility",78,0.00529893551563059
2022,"Reasons","life_expectancy",34,0.00621663455112552
2022,"Reasons","longevity",90,0.00621663455112552
2022,"Reasons","migration",54,0.00489386221894191
2022,"Reasons","urbanization",90,0.00627238742448303
2023,"Impacts","dependency_ratio",42,0.00502866263341871
2023,"Impacts","economic_growth",162,0.00532880407166606
2023,"Impacts","elderly_care",255,0.00290631519391951
2023,"Impacts","retirement_age",9,0.00541562379018413
2023,"Impacts","social_security",28,0.00296207200721545
2023,"Reasons","birth_rate",15,0.0060898363531683
2023,"Reasons","demographic_shift",3,0.00290631519391951
2023,"Reasons","fertility",24,0.00479444483202228
2023,"Reasons","life_expectancy",81,0.00465951870398867
2023,"Reasons","longevity",69,0.00322920105480905
2023,"Reasons","migration",18,0.00541562379018413
2023,"Reasons","urbanization",119,0.0046681252868261
2023,"Solutions","automation",6,0.00290631519391951
2023,"Solutions","lifelong_learning",12,0.00290631519391951
2024,"Impacts","dependency_ratio",148,0.00396728049275746
2024,"Impacts","economic_growth",297,0.00396728049275746
2024,"Impacts","labor_shortage",5,0.00312933182044351
2024,"Impacts","retirement_age",11,0.003905706814707
2024,"Impacts","social_security",11,0.003905706814707
2024,"Reasons","birth_rate",2,0.00694741556532342
2024,"Reasons","demographic_shift",6,0.00555272539107617
2024,"Reasons","family_planning",55,0.00312933182044351
2024,"Reasons","fertility",60,0.00409841360429428
2024,"Reasons","life_expectancy",28,0.00436620504796944
2024,"Reasons","longevity",21,0.0039445265688796
2024,"Reasons","migration",32,0.00414044016866181
2024,"Reasons","urbanization",70,0.003616037202456
2024,"Solutions","automation",65,0.003616037202456
2024,"Solutions","intergenerational_housing",1,0.00498097145601242
2024,"Solutions","lifelong_learning",2,0.00415803521682892
